Dataset,Method,K,Method_Label,Original_p,Mean_Features,Std_Features,Reduction_pct,F1_Mean,Accuracy_Mean,Runtime_Selection_s,Runtime_Training_s,Runtime_Total_s
colon,None,,None,2000,2000.0,0.0,0.0,0.685858585858586,0.8014957264957266,0.0001578378003614489,8.281460464699922,8.281618302500283
colon,ANOVA,10.0,ANOVA (K=10),2000,10.0,0.0,99.5,0.7356878306878307,0.8399572649572651,0.03864070660056314,0.32071414503298,0.35935485163354314
colon,ANOVA,20.0,ANOVA (K=20),2000,20.0,0.0,99.0,0.734906204906205,0.8324786324786326,0.004589851599303074,0.30298749833321686,0.3075773499325199
colon,ANOVA,50.0,ANOVA (K=50),2000,50.0,0.0,97.5,0.7750120250120252,0.8489316239316242,0.005681638400710653,0.3909772390670696,0.3966588774677803
colon,ANOVA,100.0,ANOVA (K=100),2000,100.0,0.0,95.0,0.7493482443482444,0.8335470085470088,0.005406483200931689,0.5636892870665179,0.5690957702674495
colon,RFECV,600.0,RFECV (K=600),2000,600.0,0.0,70.0,0.7832010582010582,0.8547008547008548,9.442782143500153,2.00188348941659,11.444665632916744
colon,RFECV,2000.0,RFECV (K=2000),2000,2000.0,0.0,0.0,0.6699735449735451,0.8012820512820512,14.147244290499657,5.396036434249254,19.54328072474891
colon,RFECV,400.0,RFECV (K=400),2000,400.0,0.0,80.0,0.6488095238095237,0.7777777777777778,9.652597051997873,1.3083662795003572,10.96096333149823
colon,Lasso,58.0,Lasso (K=58),2000,58.0,0.0,97.1,0.8082010582010581,0.8846153846153846,0.7126091069985705,0.4808516253324342,1.1934607323310047
colon,Lasso,36.0,Lasso (K=36),2000,36.0,0.0,98.2,0.7777777777777778,0.8333333333333334,1.0155416489978961,0.4140096286670693,1.4295512776649655
colon,Lasso,719.0,Lasso (K=719),2000,719.0,0.0,64.05000000000001,0.6666666666666666,0.75,0.5937656900023285,1.9130627106666604,2.5068284006689887
colon,Lasso,57.0,Lasso (K=57),2000,57.0,0.0,97.15,0.6996031746031744,0.8472222222222223,0.9069929269971908,0.44146157283406257,1.3484544998312533
colon,Lasso,618.0,Lasso (K=618),2000,618.0,0.0,69.10000000000001,0.8444444444444444,0.875,0.6758619040010672,1.8881828856653253,2.5640447896663923
colon,QUBO-SA,10.0,QUBO-SA (K=10),2000,10.0,0.0,99.5,0.5870875420875421,0.7405982905982907,9.347480723200714,0.2606372282330994,9.608117951433815
colon,QUBO-SA,20.0,QUBO-SA (K=20),2000,19.4,0.4982728791224399,99.03,0.5634920634920636,0.7433760683760686,6.837493050000194,0.3216042456000044,7.159097295600199
colon,QUBO-SA,50.0,QUBO-SA (K=50),2000,48.8,0.40683810217248617,97.56,0.5293650793650794,0.7213675213675214,7.099970656599908,0.42788632886671013,7.5278569854666175
colon,QUBO-SA,100.0,QUBO-SA (K=100),2000,97.0,0.0,95.15,0.5473015873015873,0.7237179487179487,7.125182744399353,0.5561986625000525,7.681381406899406
colon,QUBO-SB,10.0,QUBO-SB (K=10),2000,6.6,4.247514486184223,99.67,0.482049062049062,0.7081196581196582,10.327291166198847,0.2320737952667211,10.559364961465569
colon,QUBO-SB,20.0,QUBO-SB (K=20),2000,20.0,0.0,99.0,0.772936507936508,0.8523504273504275,9.101969266599918,0.3259879800335815,9.427957246633499
colon,QUBO-SB,50.0,QUBO-SB (K=50),2000,40.4,21.781991929430905,97.98,0.5348581048581048,0.7517094017094017,8.828988152599777,0.39250746803324243,9.22149562063302
colon,QUBO-SB,100.0,QUBO-SB (K=100),2000,73.6,58.06037285922063,96.32000000000001,0.4681048581048581,0.7126068376068376,8.785504866199336,0.4405644159327494,9.226069282132084
